861 、やっと晴れました。好不容易天晴了。,
862 、雨がまだ降っていますか。 雨还在下。,
863 、まだ止まらないらしいです。 雨好象还没停。,
864 、みんな傘を差して歩いています。 大家走路都打着伞。,
865 、毎日、つゆのようによく降ります。 每天都下雨，好象到了梅雨季节。,
866 、天気予報によると、明日も雨だそうです。 天气预报说，明天还有雨。,
867 、いつの間にか梅雨も終わったようです。 好象梅雨季节不知不觉地结束了。,
868 、昨日、梅雨明けの宣言が出たそうです。 听说昨天已经发出梅雨季节结束的消息。,
869 、風通しが悪くて特に暑いんです。 通风不良，特别热。,
870 、僕の部屋のほうが少し増しかな。 我的房间可能好一些。,
871 、急に風が強くなって、雨も降りそうになりました。 风力突然增强，好象要下雨了。,
872 、台風が近づいているからでしょう。 也许因为台风正在接近。,
873 、天気の悪いときに、山登りは危ないですう。 天气不好，登山很危险。,
875 、天気がよくなってから、出かければいいでしょう。 天好之后再出门吧。,
876 、すぐ天気予報の時間になります。 马上就到天气预报时间了。,
877 、今日は北後南の風、晴れでしょう。 今天北风转南风，晴。,
878 、明日は南の風、晴れ、時々曇りで、朝晩涼しいでしょう。 明天南风、晴、有时阴天，早晚凉爽。,
879 、明日南よりの風、朝のうちは雨が残ります。 明天南风，早上仍然有雨。,
880 、先週、国からの手紙がありました。 上星期家里来信了。,
